,market_datetimes
703,2023-05-26 12:30:00
704,2023-05-26 13:30:00
705,2023-05-26 14:30:00
706,2023-05-26 15:30:00
707,2023-05-30 09:30:00
708,2023-05-30 10:30:00
709,2023-05-30 11:30:00
710,2023-05-30 12:30:00
711,2023-05-30 13:30:00
712,2023-05-30 14:30:00
713,2023-05-30 15:30:00
714,2023-05-31 09:30:00
715,2023-05-31 10:30:00
716,2023-05-31 11:30:00
717,2023-05-31 12:30:00
718,2023-05-31 13:30:00
719,2023-05-31 14:30:00
720,2023-05-31 15:30:00
721,2023-06-01 09:30:00
722,2023-06-01 10:30:00
723,2023-06-01 11:30:00
724,2023-06-01 12:30:00
725,2023-06-01 13:30:00
726,2023-06-01 14:30:00
727,2023-06-01 15:30:00
728,2023-06-02 09:30:00
729,2023-06-02 10:30:00
730,2023-06-02 11:30:00
731,2023-06-02 12:30:00
732,2023-06-02 13:30:00
733,2023-06-02 14:30:00
734,2023-06-02 15:30:00
735,2023-06-05 09:30:00
736,2023-06-05 10:30:00
737,2023-06-05 11:30:00
738,2023-06-05 12:30:00
739,2023-06-05 13:30:00
740,2023-06-05 14:30:00
741,2023-06-05 15:30:00
742,2023-06-06 09:30:00
743,2023-06-06 10:30:00
744,2023-06-06 11:30:00
745,2023-06-06 12:30:00
746,2023-06-06 13:30:00
747,2023-06-06 14:30:00
748,2023-06-06 15:30:00
749,2023-06-07 09:30:00
750,2023-06-07 10:30:00
751,2023-06-07 11:30:00
752,2023-06-07 12:30:00
753,2023-06-07 13:30:00
754,2023-06-07 14:30:00
755,2023-06-07 15:30:00
756,2023-06-08 09:30:00
757,2023-06-08 10:30:00
758,2023-06-08 11:30:00
759,2023-06-08 12:30:00
760,2023-06-08 13:30:00
761,2023-06-08 14:30:00
762,2023-06-08 15:30:00
763,2023-06-09 09:30:00
764,2023-06-09 10:30:00
765,2023-06-09 11:30:00
766,2023-06-09 12:30:00
767,2023-06-09 13:30:00
768,2023-06-09 14:30:00
769,2023-06-09 15:30:00
770,2023-06-12 09:30:00
771,2023-06-12 10:30:00
772,2023-06-12 11:30:00
773,2023-06-12 12:30:00
774,2023-06-12 13:30:00
775,2023-06-12 14:30:00
776,2023-06-12 15:30:00
777,2023-06-13 09:30:00
778,2023-06-13 10:30:00
779,2023-06-13 11:30:00
780,2023-06-13 12:30:00
781,2023-06-13 13:30:00
782,2023-06-13 14:30:00
783,2023-06-13 15:30:00
784,2023-06-14 09:30:00
785,2023-06-14 10:30:00
786,2023-06-14 11:30:00
787,2023-06-14 12:30:00
788,2023-06-14 13:30:00
789,2023-06-14 14:30:00
790,2023-06-14 15:30:00
791,2023-06-15 09:30:00
792,2023-06-15 10:30:00
793,2023-06-15 11:30:00
794,2023-06-15 12:30:00
795,2023-06-15 13:30:00
796,2023-06-15 14:30:00
797,2023-06-15 15:30:00
798,2023-06-16 09:30:00
799,2023-06-16 10:30:00
800,2023-06-16 11:30:00
801,2023-06-16 12:30:00
802,2023-06-16 13:30:00
803,2023-06-16 14:30:00
804,2023-06-16 15:30:00
805,2023-06-20 09:30:00
806,2023-06-20 10:30:00
807,2023-06-20 11:30:00
808,2023-06-20 12:30:00
809,2023-06-20 13:30:00
810,2023-06-20 14:30:00
811,2023-06-20 15:30:00
812,2023-06-21 09:30:00
813,2023-06-21 10:30:00
814,2023-06-21 11:30:00
815,2023-06-21 12:30:00
816,2023-06-21 13:30:00
817,2023-06-21 14:30:00
818,2023-06-21 15:30:00
819,2023-06-22 09:30:00
820,2023-06-22 10:30:00
821,2023-06-22 11:30:00
822,2023-06-22 12:30:00
823,2023-06-22 13:30:00
824,2023-06-22 14:30:00
825,2023-06-22 15:30:00
826,2023-06-23 09:30:00
827,2023-06-23 10:30:00
828,2023-06-23 11:30:00
829,2023-06-23 12:30:00
830,2023-06-23 13:30:00
831,2023-06-23 14:30:00
832,2023-06-23 15:30:00
833,2023-06-26 09:30:00
834,2023-06-26 10:30:00
835,2023-06-26 11:30:00
836,2023-06-26 12:30:00
837,2023-06-26 13:30:00
838,2023-06-26 14:30:00
839,2023-06-26 15:30:00
840,2023-06-27 09:30:00
841,2023-06-27 10:30:00
842,2023-06-27 11:30:00
843,2023-06-27 12:30:00
844,2023-06-27 13:30:00
845,2023-06-27 14:30:00
846,2023-06-27 15:30:00
847,2023-06-28 09:30:00
848,2023-06-28 10:30:00
849,2023-06-28 11:30:00
850,2023-06-28 12:30:00
851,2023-06-28 13:30:00
852,2023-06-28 14:30:00
853,2023-06-28 15:30:00
854,2023-06-29 09:30:00
855,2023-06-29 10:30:00
856,2023-06-29 11:30:00
857,2023-06-29 12:30:00
858,2023-06-29 13:30:00
859,2023-06-29 14:30:00
860,2023-06-29 15:30:00
861,2023-06-30 09:30:00
862,2023-06-30 10:30:00
863,2023-06-30 11:30:00
864,2023-06-30 12:30:00
865,2023-06-30 13:30:00
866,2023-06-30 14:30:00
867,2023-06-30 15:30:00
868,2023-07-03 09:30:00
869,2023-07-03 10:30:00
870,2023-07-03 11:30:00
871,2023-07-05 09:30:00
872,2023-07-05 10:30:00
873,2023-07-05 11:30:00
874,2023-07-05 12:30:00
875,2023-07-05 13:30:00
876,2023-07-05 14:30:00
877,2023-07-05 15:30:00
878,2023-07-06 09:30:00
879,2023-07-06 10:30:00
880,2023-07-06 11:30:00
881,2023-07-06 12:30:00
882,2023-07-06 13:30:00
883,2023-07-06 14:30:00
